speciesName	ln(snoutVentLength)	ln(relativeHindlimbLength)	ln(numScalesAcrossSnout)
acutus	4.204692619	-1.228846741	1.945910149
aeneus	4.343805422	-1.378914254	2.079441542
aequatorialis	4.521788577	-1.134764374	2.564949357
agassizi	4.844187086	-1.184670923	1.945910149
agueroi	5.036952602	-1.609437912	1.945910149
ahli	4.077537444	-1.220185135	2.197224577
alayoni	NA	NA	NA
alfaroi	NA	NA	NA
aliniger	4.094344562	-1.464355469	2.079441542
allisoni	4.510859507	-1.464929807	1.945910149
allogus	4.143134726	-1.246004283	2.302585093
altae	3.784189634	-1.356194715	2.151762203
altitudinalis	3.951243719	-1.514127733	1.609437912
altavelensis	3.951243719	-1.234780466	1.791759469
alumina	3.688879454	-1.307962518	1.945910149
alutaceus	3.63758616	-1.357441732	2.079441542
alvarezdeltoroi	4.234106505	-0.996454571	2.079441542
amplisquamosus	3.784189634	-1.29700767	1.609437912
anatoloros	NA	NA	NA
anchicayae	4.143134726	-1.317939041	2.397895273
anfiloquiae	3.761200116	-1.237874356	2.079441542
angusticeps	3.951243719	-1.612880257	1.945910149
annectens	4.356708827	-1.237874356	2.302585093
anoriensis	NA	NA	NA
antioquiae	4.369447852	-1.427116356	2.890371758
antonii	4.007333185	-1.2774296	2.197224577
apletophallus 	3.850147602	-1.111599484	2.525728644
apollinaris	4.663439094	-1.361371295	2.397895273
aquaticus	4.290459441	-1.152322016	2.48490665
argenteolus	4.025351691	-1.213634715	2.079441542
argillaceus	3.871201011	-1.501262872	1.609437912
armouri	4.204692619	-1.231591652	1.945910149
auratus	3.988984047	-1.423038284	2.197224577
aurifer	NA	NA	NA
bahorucoensis	3.931825633	-1.255480361	2.079441542
baleatus	5.192956851	-1.343376345	1.609437912
baracoae	5.147494477	-1.393810625	1.791759469
barahonae	5.075173815	-1.335188811	1.791759469
barkeri	4.615120517	-1.203972804	2.197224577
bartschi	4.356708827	-1.130961564	2.197224577
beckeri	4.110873864	-1.46967597	2.079441542
bellipeniculus	4.248495242	-1.46967597	1.609437912
benedikti	3.891820298	-1.078809661	2.708050201
bicaorum	4.204692619	-1.127380359	2.302585093
bimaculatus	4.812184355	-1.302094795	1.945910149
binotatus	3.931825633	-1.155894289	2.397895273
biporcatus	4.585	-1.358679194	2.302585093
birama	NA	NA	NA
biscutiger	3.63758616	-1.203102861	2.397895273
blanquillanus	4.442651256	-1.34782808	1.945910149
bocourti	3.761200116	-1.237874356	2.420368129
boettgeri	4.234106505	-1.331446561	2.197224577
bombiceps	4.204692619	-1.022035789	2.48490665
bonairensis	4.262679877	-1.318318567	2.079441542
boulengerianus	4.143134726	-1.131652143	2.079441542
brasiliensis	4.189654742	-1.137693639	2.251291799
barbouri	3.850147602	-1.151880643	1.945910149
barbatus	5.135798437	-1.537550683	1.945910149
bremeri	4.276666119	-1.32024445	1.791759469
breslini	4.043051268	-1.167962367	1.791759469
brevirostris	3.970291914	-1.237667017	1.791759469
brunneus	4.33073334	-1.447702062	1.609437912
calimae	4.077537444	-1.527086877	2.197224577
campbelli	3.931825633	-1.139434283	1.987874348
capito	4.553876892	-1.083427182	2.397895273
caquetae	4.060443011	-1.346020462	2.302585093
carlostoddi	4.025351691	-1.560817225	1.609437912
carolinensis	4.262679877	-1.412824351	1.945910149
carpenteri	3.80666249	-1.312706004	2.564949357
casildae	4.644390899	-1.173609941	2.772588722
caudalis	3.970291914	-1.351907995	1.791759469
centralis	3.737669618	-1.485993721	1.609437912
chamaeleonides	5.176149733	-1.508767039	2.197224577
charlesmyeri	4.356708827	-1.427116356	2.014903021
chloris	4.127134385	-1.347073648	2.564949357
chlorocyanus	4.382026635	-1.286695475	1.945910149
chocorum	4.369447852	-1.237874356	2.564949357
christophei	3.912023005	-1.248913445	2.197224577
chrysolepis	4.304065093	-1.043508529	2.442347035
chrysops	4.779123493	-1.30933332	1.791759469
clivicola	3.891820298	-1.241989423	2.197224577
cobanensis	3.912023005	-1.290484056	2.302585093
coelestinus	4.430816799	-1.399353054	2.397895273
compressicauda	4.007333185	-1.170271365	2.079441542
concolor	4.382026635	-1.259839975	2.197224577
confusus	3.891820298	-1.238578334	1.609437912
conspersus	4.248495242	-1.36804372	2.079441542
cooki	4.290459441	-1.204636092	1.791759469
cupreus	4.007333185	-1.263449791	2.302585093
cuprinus	4.234106505	-1.216739561	2.197224577
crassulus	3.970291914	-1.27899398	1.945910149
cristifer	4.477336814	-1.419308173	2.197224577
cristatellus	4.382026635	-1.187277926	1.791759469
cryptolimifrons	3.80666249	-1.180907531	2.525728644
cupeyalensis	3.526360525	-1.448917784	1.791759469
cuscoensis	4.060443011	-1.36424088	2.302585093
cusuco	3.828641396	-1.32972401	2.140066163
cuvieri	4.919980926	-1.263485727	2.197224577
cyanopleurus	NA	NA	NA
cybotes	4.394449155	-1.183216925	1.945910149
cymbops	NA	NA	NA
danieli	4.762173935	-1.259931458	2.302585093
darlingtoni	NA	NA	NA
datzorum	3.850147602	-1.347073648	2.014903021
desechensis	4.043051268	-1.160767019	1.791759469
desiradei	4.382026635	-1.237874356	1.704748092
dissimilis	4.025351691	-1.537117251	1.945910149
distichus	4.060443011	-1.228094245	1.791759469
dolichocephalus	3.951243719	-1.285658319	2.079441542
dollfusianus	3.761200116	-1.277275623	2.397895273
dominicensis	4.060443011	-1.262308381	1.386294361
duellmani	3.63758616	-1.229108778	1.945910149
dunni	4.060443011	-1.33376916	1.791759469
equestris	5.236441963	-1.35462802	1.791759469
ernestwilliamsi	4.406719247	-1.204083663	1.945910149
etheridgei	3.784189634	-1.055944782	2.48490665
eugenegrahami	4.276666119	-1.12278265	2.63905733
eulaemus	4.615120517	-1.241328591	2.772588722
euskalerriari	NA	NA	NA
